barrio,precio,numero_habitaciones,reseñas,servicios
berruguete,46.0,1.0,15,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Portable fans,Dining table,Heating,Toaster,Baking sheet,TV,Washer,Fire extinguisher,Elevator,Lock on bedroom door,Shampoo,Hair dryer,Bed linens,Host greets you,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Conditioner,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
lucero,25.0,1.0,57,"Bidet,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Heating,Toaster,Hot water kettle,Washer,Free parking on premises,Long term stays allowed,Hair dryer,Bed linens,Free street parking,Drying rack for clothing,Dishes and silverware,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
justicia,120.0,1.0,83,"Dishes and silverware,Hangers,City skyline view,Heating,Wifi,Hair dryer,Private patio or balcony,Kitchen,TV,Washer,Essentials,Cooking basics,Elevator,Hot water,Refrigerator,Air conditioning,Dryer,Shampoo"
pinar del rey,114.0,1.0,0,"Ethernet connection,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Portable fans,Heating,Shower gel,TV,Washer,Elevator,Shampoo,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Dishwasher,Private entrance,Refrigerator,Dishes and silverware"
ciudad jardín,85.0,2.0,16,"Wifi  26 Mbps,City skyline view,Books and reading material,First aid kit,Garden view,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Portable fans,Private backyard  Fully fenced,Dining table,Toaster,Washer,Fire extinguisher,Patio or balcony,HDTV,Shampoo,Paid parking on premises,Wine glasses,Long term stays allowed,Body soap,Bathtub,Bed linens,Coffee,Pets allowed,Host greets you,Freezer,Outdoor dining area,Heating - split type ductless system,Coffee maker,Blender,Drying rack for clothing,Conditioner,Dishwasher,Cleaning products,Oven,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture"
universidad,145.0,1.0,5,"Hangers,First aid kit,Wifi,Hair dryer,Kitchen,TV,Essentials,Elevator,Iron,Air conditioning,Crib"
ventas,20.0,1.0,219,"Fagor stainless steel oven,City skyline view,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Heating,Shower gel,Lock on bedroom door,Shampoo,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Fagor stainless steel induction stove,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware"
palacio,70.0,1.0,314,"Ethernet connection,First aid kit,Breakfast,Wifi,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Heating,Clothing storage: wardrobe,Shower gel,Hot water kettle,Fire extinguisher,Lock on bedroom door,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Laundromat nearby,Conditioner,Cleaning products,Childrens dinnerware,Dedicated workspace,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware"
universidad,86.0,1.0,356,"Bidet,Wifi,Clothing storage: closet,Kitchen,Essentials,Mini fridge,Hot water,Iron,Microwave,Electric stove,Hangers,Extra pillows and blankets,Dining table,Shower gel,Hot water kettle,TV,Washer,Fire extinguisher,Elevator,Coffee maker: espresso machine,Paid parking garage off premises,Portable air conditioning,Shampoo,Radiant heating,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Laundromat nearby,Drying rack for clothing,Conditioner,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
chopera,146.0,1.0,69,"Exercise equipment,Bidet,Mercadona conditioner,Ethernet connection,City skyline view,Mosquito net,Books and reading material,Central air conditioning,Garden view,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Park view,Hangers,Extra pillows and blankets,Private backyard  Fully fenced,Portable fans,Dining table,Free washer  In unit,Sonic  Bluetooth sound system,Toaster,Baking sheet,Shower gel,Hot water kettle,Private patio or balcony,Sun loungers,Courtyard view,Central heating,Elevator,Coffee maker: espresso machine,Paid parking lot off premises,Klarstein  stainless steel double oven,Shampoo,Portable air conditioning,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Host greets you,Freezer,Outdoor dining area,Laundromat nearby,Blender,Drying rack for clothing,Fast wifi  698 Mbps,Cleaning products,Dedicated workspace,EVVO refrigerator,Cooking basics,Smeg induction stove,Room-darkening shades,Dishes and silverware,Outdoor furniture,Single level home"
castillejos,83.0,1.0,18,"Hangers,Paid parking on premises,Smoke alarm,Private entrance,Pool,Exterior security cameras on property,First aid kit,Heating,Wifi,Hair dryer,TV,Essentials,Carbon monoxide alarm,Fire extinguisher,Elevator,Iron,Air conditioning,Shampoo"
embajadores,91.0,0.0,78,"Wifi,Induction stove,Kitchen,Coffee maker: french press,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Dining table,Free washer  In unit,Hot water kettle,TV,Paid parking garage off premises,Long term stays allowed,Hair dryer,Drying rack for clothing,Self check-in,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
entrevías,21.0,1.0,16,"Books and reading material,First aid kit,Kitchen,Essentials,Mini fridge,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Toaster,Mercadona  body soap,Washer,Coffee maker: espresso machine,Lock on bedroom door,Shampoo,Free parking on premises,Hair dryer,Bed linens,Host greets you,Freezer,Blender,Drying rack for clothing,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
vallehermoso,115.0,1.0,15,"Building staff,Bidet,Ethernet connection,City skyline view,Books and reading material,First aid kit,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,49 inch HDTV with Netflix, standard cable,Hot water,Iron,Luggage dropoff allowed,Paid street parking off premises,Microwave,Hangers,Portable fans,Dining table,Free washer  In unit,Toaster,Shared outdoor pool - available seasonally, open specific hours, rooftop,Hot water kettle,Carbon monoxide alarm,Elevator,Central heating,Fire extinguisher,Smoke alarm,Wine glasses,Bosch induction stove,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Coffee,Private hot tub - available all year, open 24 hours,Freezer,Coffee maker,Blender,Drying rack for clothing,Wifi  40 Mbps,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
embajadores,109.0,2.0,248,"First aid kit,Wifi,Childrens books and toys,Central air conditioning,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Free washer  In unit,Heating,TV,Fire extinguisher,Backyard,Shampoo,Smoke alarm,Hair dryer,Coffee maker,Smoking allowed,Childrens dinnerware,Dedicated workspace,Dishes and silverware,Outdoor furniture"
palacio,126.0,1.0,41,"AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Extra pillows and blankets,Exercise equipment: free weights,Portable fans,Dining table,Free washer  In unit,Heating,Es pequeno. Para bebidas y algo mas  refrigerator,Paid parking lot off premises,Lockbox,Fire extinguisher,Long term stays allowed,Bed linens,Dryer  In unit,Drying rack for clothing,Private entrance,Single oven,Self check-in,Cleaning available during stay,Cooking basics,Dishes and silverware"
delicias,84.0,1.0,28,"Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Heating,Shower gel,TV,Fire extinguisher,Long term stays allowed,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Cleaning products,Otro stainless steel single oven,Self check-in,Dedicated workspace,Cooking basics,GE stainless steel induction stove,Refrigerator,Dishes and silverware,Crib"
gaztambide,65.0,1.0,52,"EV charger,Bidet,Ethernet connection,First aid kit,Wifi,Hot water,Iron,Luggage dropoff allowed,Hangers,Dining table,Heating,TV,Elevator,Fire extinguisher,Lock on bedroom door,Private living room,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Room-darkening shades,Host greets you,Paid washer  In unit,Cleaning products,Cleaning available during stay,Dedicated workspace,Pocket wifi"
bellas vistas,47.0,2.0,40,"First aid kit,Wifi,Pantene  conditioner,Kitchen,Essentials,Hot water,Iron,Microwave,Portable fans,TV,Washer,Paid parking on premises,Radiant heating,Exterior security cameras on property,Body soap,Clothing storage: wardrobe and dresser,Hair dryer,Coffee,Freezer,Blender,Drying rack for clothing,Dishwasher,Cleaning products,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
universidad,20.0,1.0,7,"First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Keypad,Hangers,Dining table,Heating,Toaster,Shower gel,Fire extinguisher,Shampoo,Smoke alarm,Exterior security cameras on property,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
trafalgar,89.0,1.0,28,"Other electric stove,Wifi,Clothing storage: closet,Coffee maker: french press,Kitchen,Hot water,Microwave,Hangers,Heating,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Paid parking garage off premises,Housekeeping available from 12:00 PM to 2:00 PM, Monday to Friday - available at extra cost,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Freezer,Laundromat nearby,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
embajadores,84.0,1.0,140,"First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Electric stove,Hangers,Crib - available upon request,Dining table,Portable heater,Shower gel,Pack n play/Travel crib - available upon request,Fire extinguisher,Portable air conditioning,Shampoo,Ceiling fan,Wine glasses,Blanca body soap,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Host greets you,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Dishwasher,Cleaning products, , refrigerator,Cooking basics,Room-darkening shades,Pocket wifi,Dishes and silverware"
cuatro vientos,72.0,1.0,36,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Heating,Private patio or balcony,TV,Washer,Carbon monoxide alarm,Elevator,Shampoo,Free parking on premises,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Coffee maker,Free street parking,Dishes and silverware,Private entrance,Oven,Smoking allowed,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
embajadores,109.0,1.0,114,"City skyline view,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Free washer  In unit,Heating,Shower gel,Private patio or balcony,Shampoo,Wine glasses,21 inch HDTV,Body soap,Hair dryer,Bed linens,Indoor fireplace,Host greets you,Coffee maker,Drying rack for clothing,Conditioner,Dishwasher,Private entrance,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
jerónimos,139.0,2.0,4,"Hangers,Smoke alarm,Exterior security cameras on property,Heating,Wifi,Hair dryer,Bed linens,Self check-in,Shower gel,Essentials,Fire extinguisher,Smart lock,Hot water,Air conditioning"
embajadores,143.0,0.0,9,"Hangers,Smoke alarm,First aid kit,Heating,Wifi,Hair dryer,Shampoo,TV,Essentials,Carbon monoxide alarm,Fire extinguisher,Elevator,Shared patio or balcony,Air conditioning,Dryer"
almagro,79.0,1.0,1,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
rejas,116.0,1.0,4,"Exercise equipment,Wifi,Central air conditioning,Garden view,Shared pool - available seasonally,Kitchen,Essentials,Smart lock,Hot water,Iron,Luggage dropoff allowed,Hangers,Private backyard  Fully fenced,Free washer  In unit,Heating,Private gym in building,TV,Carbon monoxide alarm,Outdoor playground,Ping pong table,Shampoo,Free parking on premises,Smoke alarm,Exterior security cameras on property,Long term stays allowed,Hair dryer,Coffee maker,Self check-in,Free dryer  In unit,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
embajadores,88.0,1.0,15,"Wifi,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Paid crib - available upon request,Hangers,Clothing storage,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Carbon monoxide alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee maker,Dryer,Drying rack for clothing,Cleaning products,Oven,Self check-in,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
universidad,16.0,1.0,15,"City skyline view,Wifi,Central air conditioning,Kitchen,Essentials,Smart lock,Hot water,Iron,Luggage dropoff allowed,Heating,Carbon monoxide alarm,Fire extinguisher,Patio or balcony,HDTV,Smoke alarm,Long term stays allowed,Hair dryer,Coffee maker,Dryer,Free washer  In building,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
embajadores,67.0,1.0,365,"Clothing storage: closet,Kitchen,Essentials,Stove,Fast wifi  320 Mbps,Hot water,Paid parking off premises,Microwave,Hangers,Portable fans,TV,Washer,Backyard,Paid parking on premises,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Host greets you,Freezer,Heating - split type ductless system,Coffee maker,Cooking basics,Refrigerator,Dishes and silverware"
rios rosas,119.0,2.0,0,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Bathtub,Hair dryer,Dryer  In unit,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
castellana,300.0,2.0,156,"Ethernet connection,Books and reading material,Breakfast,Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,HDTV with standard cable,Extra pillows and blankets,Clothing storage,Dining table,Free washer  In unit,Heating,Toaster,Baking sheet,Shower gel,Hot water kettle,Elevator,Paid parking garage off premises,Shampoo,Paid parking on premises,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Pets allowed,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware,Crib,Single level home"
embajadores,63.0,1.0,303,"First aid kit,Breakfast,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Shared patio or balcony,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Shared backyard  Not fully fenced,Elevator,Lockbox,Stainless steel induction stove,Lock on bedroom door,HDTV,Shampoo,Ceiling fan,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Drying rack for clothing,Cleaning products,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware,Single level home"
